dx_mm,dz_mm,configuracion,darcy_implicito,viscoso_implicito,difusion_implicita,dt_darcy_explicito_s,dt_viscoso_explicito_s,dt_difusion_explicita_s,dt_adveccion_s,dt_estable_s,pasos_720,factor_vs_todo_explicito
2,1,todo_explicito,0,0,0,3.920000000e-07,1.289600000e-03,8.695652174e-04,8.583690987e-03,3.920000000e-07,1836734694,1.000000
2,1,darcy_implicito,1,0,0,3.920000000e-07,1.289600000e-03,8.695652174e-04,8.583690987e-03,8.695652174e-04,828000,2218.278616
2,1,darcy_y_viscoso_implicitos,1,1,0,3.920000000e-07,1.289600000e-03,8.695652174e-04,8.583690987e-03,8.695652174e-04,828000,2218.278616
2,1,darcy_viscoso_y_difusion_implicitos,1,1,1,3.920000000e-07,1.289600000e-03,8.695652174e-04,8.583690987e-03,8.583690987e-03,83880,21897.170886
1,0.5,todo_explicito,0,0,0,3.920000000e-07,3.224000000e-04,2.173913043e-04,4.291845494e-03,3.920000000e-07,1836734694,1.000000
1,0.5,darcy_implicito,1,0,0,3.920000000e-07,3.224000000e-04,2.173913043e-04,4.291845494e-03,2.173913043e-04,3312000,554.569654
1,0.5,darcy_y_viscoso_implicitos,1,1,0,3.920000000e-07,3.224000000e-04,2.173913043e-04,4.291845494e-03,2.173913043e-04,3312000,554.569654
1,0.5,darcy_viscoso_y_difusion_implicitos,1,1,1,3.920000000e-07,3.224000000e-04,2.173913043e-04,4.291845494e-03,4.291845494e-03,167760,10948.585443
0.5,0.25,todo_explicito,0,0,0,3.920000000e-07,8.060000000e-05,5.434782609e-05,2.145922747e-03,3.920000000e-07,1836734694,1.000000
0.5,0.25,darcy_implicito,1,0,0,3.920000000e-07,8.060000000e-05,5.434782609e-05,2.145922747e-03,5.434782609e-05,13248000,138.642413
0.5,0.25,darcy_y_viscoso_implicitos,1,1,0,3.920000000e-07,8.060000000e-05,5.434782609e-05,2.145922747e-03,5.434782609e-05,13248000,138.642413
0.5,0.25,darcy_viscoso_y_difusion_implicitos,1,1,1,3.920000000e-07,8.060000000e-05,5.434782609e-05,2.145922747e-03,2.145922747e-03,335520,5474.292721
0.25,0.125,todo_explicito,0,0,0,3.920000000e-07,2.015000000e-05,1.358695652e-05,1.072961373e-03,3.920000000e-07,1836734694,1.000000
0.25,0.125,darcy_implicito,1,0,0,3.920000000e-07,2.015000000e-05,1.358695652e-05,1.072961373e-03,1.358695652e-05,52992000,34.660603
0.25,0.125,darcy_y_viscoso_implicitos,1,1,0,3.920000000e-07,2.015000000e-05,1.358695652e-05,1.072961373e-03,1.358695652e-05,52992000,34.660603
0.25,0.125,darcy_viscoso_y_difusion_implicitos,1,1,1,3.920000000e-07,2.015000000e-05,1.358695652e-05,1.072961373e-03,1.072961373e-03,671040,2737.146361
0.125,0.0625,todo_explicito,0,0,0,3.920000000e-07,5.037500000e-06,3.396739130e-06,5.364806867e-04,3.920000000e-07,1836734694,1.000000
0.125,0.0625,darcy_implicito,1,0,0,3.920000000e-07,5.037500000e-06,3.396739130e-06,5.364806867e-04,3.396739130e-06,211968000,8.665151
0.125,0.0625,darcy_y_viscoso_implicitos,1,1,0,3.920000000e-07,5.037500000e-06,3.396739130e-06,5.364806867e-04,3.396739130e-06,211968000,8.665151
0.125,0.0625,darcy_viscoso_y_difusion_implicitos,1,1,1,3.920000000e-07,5.037500000e-06,3.396739130e-06,5.364806867e-04,5.364806867e-04,1342080,1368.573180
